,DATE,TEC
0,2020-10-11 00:00:00,136
1,2020-10-11 00:15:00,143
2,2020-10-11 00:30:00,150
3,2020-10-11 00:45:00,157
4,2020-10-11 01:00:00,157
5,2020-10-11 01:15:00,139
6,2020-10-11 01:30:00,116
7,2020-10-11 01:45:00,93
8,2020-10-11 02:00:00,84
9,2020-10-11 02:15:00,86
10,2020-10-11 02:30:00,87
11,2020-10-11 02:45:00,82
12,2020-10-11 03:00:00,94
13,2020-10-11 03:15:00,71
14,2020-10-11 03:30:00,70
15,2020-10-11 03:45:00,82
16,2020-10-11 04:00:00,104
17,2020-10-11 04:15:00,96
18,2020-10-11 04:30:00,79
19,2020-10-11 04:45:00,85
20,2020-10-11 05:00:00,95
21,2020-10-11 05:15:00,102
22,2020-10-11 05:30:00,99
23,2020-10-11 05:45:00,85
24,2020-10-11 06:00:00,95
25,2020-10-11 06:15:00,92
26,2020-10-11 06:30:00,95
27,2020-10-11 06:45:00,102
28,2020-10-11 07:00:00,123
29,2020-10-11 07:15:00,140
30,2020-10-11 07:30:00,159
31,2020-10-11 07:45:00,158
32,2020-10-11 08:00:00,144
33,2020-10-11 08:15:00,112
34,2020-10-11 08:30:00,74
35,2020-10-11 08:45:00,70
36,2020-10-11 09:00:00,76
37,2020-10-11 09:15:00,93
38,2020-10-11 09:30:00,93
39,2020-10-11 09:45:00,91
40,2020-10-11 10:00:00,94
41,2020-10-11 10:15:00,97
42,2020-10-11 10:30:00,110
43,2020-10-11 10:45:00,115
44,2020-10-11 11:00:00,121
45,2020-10-11 11:15:00,128
46,2020-10-11 11:30:00,94
47,2020-10-11 11:45:00,71
48,2020-10-11 12:00:00,95
49,2020-10-11 12:15:00,67
50,2020-10-11 12:30:00,85
51,2020-10-11 12:45:00,94
52,2020-10-11 13:00:00,108
53,2020-10-11 13:15:00,118
54,2020-10-11 13:30:00,122
55,2020-10-11 13:45:00,96
56,2020-10-11 14:00:00,93
57,2020-10-11 14:15:00,103
58,2020-10-11 14:30:00,114
59,2020-10-11 14:45:00,100
60,2020-10-11 15:00:00,98
61,2020-10-11 15:15:00,95
62,2020-10-11 15:30:00,101
63,2020-10-11 15:45:00,117
64,2020-10-11 16:00:00,122
65,2020-10-11 16:15:00,117
66,2020-10-11 16:30:00,121
67,2020-10-11 16:45:00,112
68,2020-10-11 17:00:00,120
69,2020-10-11 17:15:00,110
70,2020-10-11 17:30:00,111
71,2020-10-11 17:45:00,129
72,2020-10-11 18:00:00,141
73,2020-10-11 18:15:00,152
74,2020-10-11 18:30:00,167
75,2020-10-11 18:45:00,168
